,B,C,Al,Si,P,V,Cr,Fe,Co,Ni,Cu,Ga,Ge,Zr,Nb,Mo,Sn,Hf,Annealing Time(s),Annealing Temperature (K),Thickness (um),Bs (T)
Fe89Hf7Zr1B3,3,0,0,0,0,0,0,89,0,0,0,0,0,1,0,0,0,7,1800,648.94849,32.5,0.25986
Fe89Hf7Zr1B3,3,0,0,0,0,0,0,89,0,0,0,0,0,1,0,0,0,7,1800,598.73871,32.5,0.37538
Fe89Hf7Zr1B3,3,0,0,0,0,0,0,89,0,0,0,0,0,1,0,0,0,7,1800,748.61528,32.5,0.42974
Fe89Hf7Zr1B3,3,0,0,0,0,0,0,89,0,0,0,0,0,1,0,0,0,7,1800,698.78188,32.5,0.62454
Fe89Hf7Zr1B3,3,0,0,0,0,0,0,89,0,0,0,0,0,1,0,0,0,7,0,0,32.5,0.64
Fe80Si7B9Nb3Cu1 ,9,0,0,7,0,0,0,80,0,0,1,0,0,0,3,0,0,0,0,0,20,0.68
Fe89Hf7Zr1P3,0,0,0,0,3,0,0,89,0,0,0,0,0,1,0,0,0,7,0,0,32.5,0.80349
Fe39Ni39B14.2Si2.75P2.75Nb2.3,14.2,0,0,2.75,2.75,0,0,39,0,39,0,0,0,0,2.3,0,0,0,600,660,25,0.88
 Fe72Si15.5B7Cu1Nb3Mo1.5,7,0,0,15.5,0,0,0,72,0,0,1,0,0,0,3,1.5,0,0,3600,833,25,0.91
Fe74Al4Ga2P12B4Si4,4,0,4,4,12,0,0,74,0,0,0,2,0,0,0,0,0,0,0,0,20,0.91
 Fe72Si15.5B7Cu1Nb3V1.5,7,0,0,15.5,0,1.5,0,72,0,0,1,0,0,0,3,0,0,0,3600,833,25,0.95
Fe76Al4P12B4Si4,4,0,4,4,12,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,20,0.96
 Fe73Si15.5B7Cu1Nb3Mo0.5,7,0,0,15.5,0,0,0,73,0,0,1,0,0,0,3,0.5,0,0,3600,833,25,0.98469
Fe46.8Ni31.2B14.2Si2.75P2.75Nb2.3,14.2,0,0,2.75,2.75,0,0,46.8,0,31.2,0,0,0,0,2.3,0,0,0,600,675,25,0.99
 Fe73Si15.5B7Cu1Nb3V0.5,7,0,0,15.5,0,0.5,0,73,0,0,1,0,0,0,3,0,0,0,3600,833,25,1.01335
Fe73.49Cu0.8Nb2.9Si13.56B9.25,9.25,0,0,13.56,0,0,0,73.49,0,0,0.8,0,0,0,2.9,0,0,0,3600,813,30,1.01957
Fe72Al8P10B6Ge4,6,0,8,0,10,0,0,72,0,0,0,0,4,0,0,0,0,0,600,660,20,1.03062
Fe73.19Cu1.1Nb2.9Si13.56B9.25,9.25,0,0,13.56,0,0,0,73.19,0,0,1.1,0,0,0,2.9,0,0,0,3600,813,30,1.06925
 Fe73.5Si15.5B7Cu1Nb3,7,0,0,15.5,0,0,0,73.5,0,0,1,0,0,0,3,0,0,0,3600,833,25,1.07
Fe73Al7P10B6Ge4,6,0,7,0,10,0,0,73,0,0,0,0,4,0,0,0,0,0,600,660,20,1.07247
Fe73Al5Ga2P10B6Ge4,6,0,5,0,10,0,0,73,0,0,0,2,4,0,0,0,0,0,600,660,20,1.09
Fe73.5Cu1Nb3Si13.5B9,9,0,0,13.5,0,0,0,73.5,0,0,1,0,0,0,3,0,0,0,3600,835,27.5,1.0936
Fe73.37Cu0.92Nb2.9Si13.56B9.24,9.24,0,0,13.56,0,0,0,73.37,0,0,0.92,0,0,0,2.9,0,0,0,3600,973,30,1.09974
Fe75Al5P10B6Ge4,6,0,5,0,10,0,0,75,0,0,0,0,4,0,0,0,0,0,600,660,20,1.1
Fe80P12B4Si4,4,0,0,4,12,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,20,1.1
Fe54.6Ni23.4B14.2Si2.75P2.75Nb2.3,14.2,0,0,2.75,2.75,0,0,54.6,0,23.4,0,0,0,0,2.3,0,0,0,600,685,25,1.13
Fe74Al4Ga2P12B4Si4,4,0,4,4,12,0,0,74,0,0,0,2,0,0,0,0,0,0,600,723,20,1.14
Fe89Hf7Zr1B3,3,0,0,0,0,0,0,89,0,0,0,0,0,1,0,0,0,7,1800,798.3734,32.5,1.14212
Fe73.5Nb3Cu1Si13.5B9,9,0,0,13.5,0,0,0,73.5,0,0,1,0,0,0,3,0,0,0,1800,772.90331,24,1.15056
Fe43.8Co29.2Ga4P11C5B4Si3,4,5,0,3,11,0,0,43.8,29.2,0,0,4,0,0,0,0,0,0,0,0,20,1.15516
Fe73.29Cu1Nb2.9Si13.56B9.25,9.25,0,0,13.56,0,0,0,73.29,0,0,1,0,0,0,2.9,0,0,0,3600,813,30,1.17063
Fe77.7Cu1.3Si4B13Nb4,13,0,0,4,0,0,0,77.7,0,0,1.3,0,0,0,4,0,0,0,0,0,25,1.1712
Fe73.5Nb3Cu1Si13.5B9,9,0,0,13.5,0,0,0,73.5,0,0,1,0,0,0,3,0,0,0,1800,813.40854,24,1.18063
Fe80Si7B9Nb3Cu1 ,9,0,0,7,0,0,0,80,0,0,1,0,0,0,3,0,0,0,1800,693,20,1.19
Fe73.5Nb3Cu1Si13.5B9,9,0,0,13.5,0,0,0,73.5,0,0,1,0,0,0,3,0,0,0,1800,853.08901,24,1.19914
Fe73.37Cu0.92Nb2.9Si13.56B9.24,9.24,0,0,13.56,0,0,0,73.37,0,0,0.92,0,0,0,2.9,0,0,0,3600,793,30,1.19957
Fe77Al3P10B6Ge4,6,0,3,0,10,0,0,77,0,0,0,0,4,0,0,0,0,0,600,660,20,1.20348
Fe73.5Nb3Cu1Si13.5B9,9,0,0,13.5,0,0,0,73.5,0,0,1,0,0,0,3,0,0,0,1800,822.66426,24,1.20954
Fe73.5Nb3Cu1Si13.5B9,9,0,0,13.5,0,0,0,73.5,0,0,1,0,0,0,3,0,0,0,1800,833.20295,24,1.21966
Fe51.1Co21.9Ga4P11C5B4Si3,4,5,0,3,11,0,0,51.1,21.9,0,0,4,0,0,0,0,0,0,0,0,20,1.2251
Fe73.37Cu0.92Nb2.9Si13.56B9.24,9.24,0,0,13.56,0,0,0,73.37,0,0,0.92,0,0,0,2.9,0,0,0,3600,813,30,1.2395
Fe78B10P8Nb4,10,0,0,0,8,0,0,78,0,0,0,0,0,0,4,0,0,0,0,0,20,1.24
Fe76Al4P12B4Si4,4,0,4,4,12,0,0,76,0,0,0,0,0,0,0,0,0,0,600,723,20,1.24
Fe62.4Ni15.6B14.2Si2.75P2.75Nb2.3,14.2,0,0,2.75,2.75,0,0,62.4,0,15.6,0,0,0,0,2.3,0,0,0,600,700,25,1.24
Fe79Al1P10B6Ge4,6,0,1,0,10,0,0,79,0,0,0,0,4,0,0,0,0,0,600,660,20,1.24334
Fe74B7.33Si15.23Nb2.67Cu0.77,7.33,0,0,15.23,0,0,0,74,0,0,0.77,0,0,0,2.67,0,0,0,3600,773,20,1.25
Fe58.4Co14.6Ga4P11C5B4Si3,4,5,0,3,11,0,0,58.4,14.6,0,0,4,0,0,0,0,0,0,0,0,20,1.25541
Fe73.37Cu0.92Nb2.9Si13.56B9.24,9.24,0,0,13.56,0,0,0,73.37,0,0,0.92,0,0,0,2.9,0,0,0,3600,833,30,1.25923
Fe73.39Cu0.9Nb2.9Si13.56B9.25,9.25,0,0,13.56,0,0,0,73.39,0,0,0.9,0,0,0,2.9,0,0,0,3600,813,30,1.26147
Fe80P10B6Ge4,7.33,0,0,15.23,0,0,0,74,0,0,0.77,0,0,0,2.67,0,0,0,3600,873,20,1.27
Fe74B7.33Si15.23Nb2.67Cu0.77,6,0,0,0,10,0,0,80,0,0,0,0,4,0,0,0,0,0,600,660,20,1.27
Fe71.67B16.67Si8.33Zr3.33,16.67,0,0,8.33,0,0,0,71.67,0,0,0,0,0,3.33,0,0,0,0,0,0,20,1.29
Fe79.7Cu1.3Si4B13Nb2,13,0,0,4,0,0,0,79.7,0,0,1.3,0,0,0,2,0,0,0,0,0,25,1.29284
Fe74B7.33Si15.23Nb2.67Cu0.77,7.33,0,0,15.23,0,0,0,74,0,0,0.77,0,0,0,2.67,0,0,0,3600,713,20,1.3
Fe74B7.33Si15.23Nb2.67Cu0.77,7.33,0,0,15.23,0,0,0,74,0,0,0.77,0,0,0,2.67,0,0,0,3600,753,20,1.3
Fe65.7Co7.3Ga4P11C5B4Si3,4,5,0,3,11,0,0,65.7,7.3,0,0,4,0,0,0,0,0,0,0,0,20,1.30248
Fe73Ga4P11C5B4Si3,4,5,0,3,11,0,0,73,0,0,0,4,0,0,0,0,0,0,0,0,20,1.30381
Fe77.7Cu1.3Si4B13Nb4,13,0,0,4,0,0,0,77.7,0,0,1.3,0,0,0,4,0,0,0,3600,723.38313,25,1.31757
Fe74Al4Sn2P12Si4B4,4,0,4,4,12,0,0,74,0,0,0,0,0,0,0,0,2,0,0,0,30,1.32
Fe72.8B16Si8Zr3.2,16,0,0,8,0,0,0,72.8,0,0,0,0,0,3.2,0,0,0,0,0,0,20,1.34
Fe80P12B4Si4,4,0,0,4,12,0,0,80,0,0,0,0,0,0,0,0,0,0,600,723,20,1.34
Fe74Al4Sn2P10Si4B4C2,4,2,4,4,10,0,0,74,0,0,0,0,0,0,0,0,2,0,0,0,30,1.34
Fe70.2Ni7.8B14.2Si2.75P2.75Nb2.3,14.2,0,0,2.75,2.75,0,0,70.2,0,7.8,0,0,0,0,2.3,0,0,0,600,710,25,1.35
Fe73.85B15.38Si7.69Zr3.08,15.38,0,0,7.69,0,0,0,73.85,0,0,0,0,0,3.08,0,0,0,0,0,0,20,1.37
Fe78B14.2Si2.75P2.75Nb2.3,14.2,0,0,2.75,2.75,0,0,78,0,0,0,0,0,0,2.3,0,0,0,600,730,25,1.39
Fe72B14.4Si9.6Nb4,14.4,0,0,9.6,0,0,0,72,0,0,0,0,0,0,4,0,0,0,0,0,30,1.4
Fe74Al4Sn2P6Si4B4C6,4,6,4,4,6,0,0,74,0,0,0,0,0,0,0,0,2,0,0,0,30,1.42
Fe77.7Cu1.3Si4B13Nb4,13,0,0,4,0,0,0,77.7,0,0,1.3,0,0,0,4,0,0,0,3600,802.91259,25,1.42053
Fe74.81B14.81Si7.41Zr2.96,14.81,0,0,7.41,0,0,0,74.81,0,0,0,0,0,2.96,0,0,0,0,0,0,20,1.43
Fe80Si7B9Nb3Cu1 ,9,0,0,7,0,0,0,80,0,0,1,0,0,0,3,0,0,0,1800,703,20,1.44
Fe89Hf7Zr1B3,3,0,0,0,0,0,0,89,0,0,0,0,0,1,0,0,0,7,1800,848.35735,32.5,1.44338
Fe89Hf7Zr1Si3,0,0,0,3,0,0,0,89,0,0,0,0,0,1,0,0,0,7,0,0,32.5,1.44452
Fe83Cr2B8Si2P4C1,8,1,0,2,4,0,2,83,0,0,0,0,0,0,0,0,0,0,600,600,20,1.45
Fe73.5B14.7Si9.8Nb2,14.7,0,0,9.8,0,0,0,73.5,0,0,0,0,0,0,2,0,0,0,0,0,30,1.47
