Composition,Annealing Time (s),Annealing Temperature (K),Thickness (mu m),Bs (T)
Fe89Hf7Zr1B3,1800,648.94849,32.5,0.25986
Fe89Hf7Zr1B3,1800,598.73871,32.5,0.37538
Fe89Hf7Zr1B3,1800,748.61528,32.5,0.42974
Fe89Hf7Zr1B3,1800,698.78188,32.5,0.62454
Fe89Hf7Zr1B3,0,0,32.5,0.64
Fe80Si7B9Nb3Cu1 ,0,0,20,0.68
Fe89Hf7Zr1P3,0,0,32.5,0.80349
Fe39Ni39B14.2Si2.75P2.75Nb2.3,600,660,25,0.88
 Fe72Si15.5B7Cu1Nb3Mo1.5,3600,833,25,0.91
Fe74Al4Ga2P12B4Si4,0,0,20,0.91
 Fe72Si15.5B7Cu1Nb3V1.5,3600,833,25,0.95
Fe76Al4P12B4Si4,0,0,20,0.96
 Fe73Si15.5B7Cu1Nb3Mo0.5,3600,833,25,0.98469
Fe46.8Ni31.2B14.2Si2.75P2.75Nb2.3,600,675,25,0.99
 Fe73Si15.5B7Cu1Nb3V0.5,3600,833,25,1.01335
Fe73.49Cu0.8Nb2.9Si13.56B9.25,3600,813,30,1.01957
Fe72Al8P10B6Ge4,600,660,20,1.03062
Fe73.19Cu1.1Nb2.9Si13.56B9.25,3600,813,30,1.06925
 Fe73.5Si15.5B7Cu1Nb3,3600,833,25,1.07
Fe73Al7P10B6Ge4,600,660,20,1.07247
Fe73Al5Ga2P10B6Ge4,600,660,20,1.09
Fe73.5Cu1Nb3Si13.5B9,3600,835,27.5,1.0936
Fe73.37Cu0.92Nb2.9Si13.56B9.24,3600,973,30,1.09974
Fe75Al5P10B6Ge4,600,660,20,1.1
Fe80P12B4Si4,0,0,20,1.1
Fe54.6Ni23.4B14.2Si2.75P2.75Nb2.3,600,685,25,1.13
Fe74Al4Ga2P12B4Si4,600,723,20,1.14
Fe89Hf7Zr1B3,1800,798.3734,32.5,1.14212
Fe73.5Nb3Cu1Si13.5B9,1800,772.90331,24,1.15056
Fe43.8Co29.2Ga4P11C5B4Si3,0,0,20,1.15516
Fe73.29Cu1Nb2.9Si13.56B9.25,3600,813,30,1.17063
Fe77.7Cu1.3Si4B13Nb4,0,0,25,1.1712
Fe73.5Nb3Cu1Si13.5B9,1800,813.40854,24,1.18063
Fe80Si7B9Nb3Cu1 ,1800,693,20,1.19
Fe73.5Nb3Cu1Si13.5B9,1800,853.08901,24,1.19914
Fe73.37Cu0.92Nb2.9Si13.56B9.24,3600,793,30,1.19957
Fe77Al3P10B6Ge4,600,660,20,1.20348
Fe73.5Nb3Cu1Si13.5B9,1800,822.66426,24,1.20954
Fe73.5Nb3Cu1Si13.5B9,1800,833.20295,24,1.21966
Fe51.1Co21.9Ga4P11C5B4Si3,0,0,20,1.2251
Fe73.37Cu0.92Nb2.9Si13.56B9.24,3600,813,30,1.2395
Fe78B10P8Nb4,0,0,20,1.24
Fe76Al4P12B4Si4,600,723,20,1.24
Fe62.4Ni15.6B14.2Si2.75P2.75Nb2.3,600,700,25,1.24
Fe79Al1P10B6Ge4,600,660,20,1.24334
